Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2474100036200905/,things to consider while doing pooja this diwali,"देखिए दिवाली पूजन की विधि व कब है शुभ मुहूर्त

(via newj dharohar)",other,relevant,2019-10-27 08:00:56,2630,2019,4,low,lifestyle,rare,rare,voice_over(vo),famous personality,happy,rare,no_secondary_category,6 AM - 9 AM,2019-10-27
https://www.facebook.com/1954072204870360/posts/2465423230401919/,ajit pawar 'clocking' ahead of time,"6 बार के विधायक और पूर्व उपमुख्यमंत्री अजित पवार बारामती में बचा पाएंगे अपना गढ़?

ajit pawar",famous personality (fp),relevant,2019-10-16 19:00:01,1503,2019,4,low,politics,informative,rare,text only(to),famous personality,action,other,no_secondary_category,6 PM - 9 PM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2465345983742977/,haryana congress giant bhupinder singh hooda,"हरियाणा के 9वें मुख्यमंत्री और 4 बार के लोकसभा सांसद भूपेंद्र सिंह हुड्डा का राजनीतिक सफर

bhupinder singh hooda",famous personality (fp),relevant,2019-10-17 11:00:01,3851,2019,4,average,politics,informative,rare,text only(to),famous personality,happy,other,no_secondary_category,9 AM - 12 PM,2019-10-17
https://www.facebook.com/1954072204870360/posts/2464657107145198/,abhijit banerjee honoured with nobel prize,अभिजीत बनर्जी जिन्हें मिलेगा नोबेल पुरस्कार,famous personality (fp),loud,2019-10-16 08:05:00,4513,2019,4,average,global news,profile,inspiring,text only(to),famous personality,happy,rare,famous personality,6 AM - 9 AM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2471211103156465/,reward on finding abusers of a leopard cub in gujarat,"क्यों इस वायरल वीडियो पर गिर वन विभाग ने रखा है ₹25,000 का इनाम?",other,no music,2019-10-28 12:05:00,18357,2019,4,high,rare,informative,rare,text only(to),rare,anger,rare,no_secondary_category,12 PM - 03 PM,2019-10-28
https://www.facebook.com/1954072204870360/posts/2464648687146040/,section 144 to restrict diwali celebrations in ayodhya,धारा 144 के बीच राम जन्म भूमि अयोध्या में लोग कैसे चला पाएंगे पटाखे?,other,relevant,2019-10-15 20:35:00,17728,2019,4,high,judiciary & crime,informative,rare,text only(to),rare,neutral,rare,rare,6 PM - 9 PM,2019-10-15
https://www.facebook.com/1954072204870360/posts/2473417652935810/,india's first transgender pilot,"घर से नाकारा लेकिन फिर भी नहीं छोड़ी हिम्मत, अब बनेंगे देश के पहले ट्रांसजेंडर पायलट",commoner (np),relevant,2019-10-26 12:05:00,1418,2019,4,low,lifestyle,inspiring,informative,text only(to),commoner,rare,rare,rare,12 PM - 03 PM,2019-10-26
https://www.facebook.com/1954072204870360/posts/2466238623653713/,traditional rajasthani safa made with 24 carat gold,क्या कीमत है सोने से बने इस साफे की?,commoner (np),relevant,2019-10-17 16:35:00,6599,2019,4,average,lifestyle,informative,rare,text only(to),commoner,happy,rare,no_secondary_category,3 PM - 6 PM,2019-10-17
https://www.facebook.com/1954072204870360/posts/2465259660418276/,visually impaired ias officer - pranjal patil,"प्रांजल पाटिल, देश की पहली नेत्रहीन आईएएस अफसर",commoner (np),relevant,2019-10-16 12:11:59,261140,2019,4,high,lifestyle,inspiring,informative,text only(to),commoner,happy,rare,person specific,12 PM - 03 PM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2464502117160697/,pakistan's video propagating anti-indian sentiment goes viral,"पाक की शर्मनाक करतूत, नफरत फैलाने के लिए बच्चों का कर रहा है इस्तेमाल",commoner (np),neutral,2019-10-15 16:05:00,12640,2019,4,high,global news,controversial,rare,commoner voice(optv),other,neutral,rare,no_secondary_category,3 PM - 6 PM,2019-10-15
